title,publisher,legacy_ids,candidate_entities,verdict,reason,issn_ls
"information impact journal of information and knowledge management","african journals online","j-disc-issn-2360-994X;j-disc-issn-2141-4297","CAND-012185;CAND-021071",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2141-4297)","CAND-012185:2141-4297|CAND-021071:2141-4297"
"jurnal pendidikan ilmu sosial","muhammadiyah university press","j-disc-issn-0854-5251;j-disc-issn-1412-3835","CAND-012347;CAND-016013",confirmed_distinct,"candidate entities resolve to different OpenAlex issn_l values (0854-5251, 1412-3835)","CAND-012347:0854-5251|CAND-016013:1412-3835"
"jurnal pendidikan keperawatan indonesia","universitas pendidikan indonesia press","j-disc-issn-2477-3743;j-disc-issn-2541-0024","CAND-012377;CAND-021015",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2477-3743)","CAND-012377:2477-3743|CAND-021015:2477-3743"
"acta educationis generalis","de gruyter","j-disc-issn-2585-741X;j-disc-issn-1338-3965","CAND-012463;CAND-023084",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1338-3965)","CAND-012463:1338-3965|CAND-023084:1338-3965"
"jurnal smart (studi masyarakat religi dan tradisi)","ministry of religious affairs of indonesia","j-disc-issn-2528-553X;j-disc-issn-2460-6294","CAND-012529;CAND-020781",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2460-6294)","CAND-012529:2460-6294|CAND-020781:2460-6294"
"şarkiyat mecmuası / journal of oriental studies","istanbul university","j-disc-issn-2717-6916;j-disc-issn-1307-5020","CAND-012751;CAND-020672",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1307-5020)","CAND-012751:1307-5020|CAND-020672:1307-5020"
"european journal of biology","istanbul university","j-disc-issn-2618-6144;j-disc-issn-2602-2575","CAND-012884;CAND-020359",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1300-7041)","CAND-012884:1300-7041|CAND-020359:1300-7041"
"public and private international law bulletin","istanbul university","j-disc-issn-2651-5377;j-disc-issn-1308-0385","CAND-012971;CAND-023077",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1308-0385)","CAND-012971:1308-0385|CAND-023077:1308-0385"
"geram","uir press","j-disc-issn-2580-376X;j-disc-issn-2338-0446","CAND-013092;CAND-020967",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2338-0446)","CAND-013092:2338-0446|CAND-020967:2338-0446"
"caderno de administração","universidade estadual de maringá","j-disc-issn-2238-1465;j-disc-issn-1516-1803","CAND-013204;CAND-020971",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1516-1803)","CAND-013204:1516-1803|CAND-020971:1516-1803"
"ulusal romatoloji dergisi","galenos yayinevi","j-disc-issn-2651-2661;j-disc-issn-2651-2653","CAND-013239;CAND-020997",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2651-2653)","CAND-013239:2651-2653|CAND-020997:2651-2653"
"istanbul journal of economics / i̇stanbul i̇ktisat dergisi","istanbul university","j-disc-issn-2602-3954;j-disc-issn-2602-4152","CAND-013284;CAND-020673",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2602-3954)","CAND-013284:2602-3954|CAND-020673:2602-3954"
"nordic journal of art and research","oslo and akershus university college of applied sciences","j-disc-issn-2535-7328;j-disc-issn-1893-2479","CAND-013787;CAND-020723",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1893-2479)","CAND-013787:1893-2479|CAND-020723:1893-2479"
"jurnal ilmu dan teknologi kesehatan","poltekkes kemenkes yogyakarta","j-disc-issn-2338-9109;j-disc-issn-2338-9095","CAND-013789;CAND-021096",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2338-9095)","CAND-013789:2338-9095|CAND-021096:2338-9095"
"progress","wydawnictwo uniwersytetu jagiellońskiego","j-disc-issn-2543-9928;j-disc-issn-2543-8638","CAND-013826;CAND-020554",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2543-8638)","CAND-013826:2543-8638|CAND-020554:2543-8638"
"journal of natural science and integration","universitas islam negeri sultan syarif kasim riau","j-disc-issn-2620-5092;j-disc-issn-2620-4967","CAND-013844;CAND-021024",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2620-4967)","CAND-013844:2620-4967|CAND-021024:2620-4967"
"falah jurnal ekonomi syariah","universitas muhammadiyah semarang","j-disc-issn-2502-7824;j-disc-issn-2502-3918","CAND-013981;CAND-021121",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2502-3918)","CAND-013981:2502-3918|CAND-021121:2502-3918"
"intensif jurnal ilmiah penelitian dan penerapan teknologi sistem informasi","universitas nusantara pgri kediri","j-disc-issn-2549-6824;j-disc-issn-2580-409X","CAND-014123;CAND-020964",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2549-6824)","CAND-014123:2549-6824|CAND-020964:2549-6824"
"revista criterios","universidad mariana","j-disc-issn-2256-1161;j-disc-issn-0121-8670","CAND-014320;CAND-020587",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2256-1161)","CAND-014320:2256-1161|CAND-020587:2256-1161"
"al-mizan","institut agama islam negeri (iain) sultan amai gorontalo","j-disc-issn-2442-8256;j-disc-issn-1907-0985","CAND-014346;CAND-021021",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1907-0985)","CAND-014346:1907-0985|CAND-021021:1907-0985"
"siyasal journal of political sciences","istanbul university","j-disc-issn-2602-3598;j-disc-issn-1303-1260","CAND-014395;CAND-023191",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1303-1260)","CAND-014395:1303-1260|CAND-023191:1303-1260"
"journal of kinesiology and exercise sciences","index copernicus international s.a.","j-disc-issn-1731-0652;j-disc-issn-2956-4581","CAND-014420;CAND-016191",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1731-0652)","CAND-014420:1731-0652|CAND-016191:1731-0652"
"central european forestry journal","de gruyter open","j-disc-issn-2454-034X;j-disc-issn-0323-1046","CAND-014472;CAND-023030",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0323-1046)","CAND-014472:0323-1046|CAND-023030:0323-1046"
"ensayos revista de economía","universidad autónoma de nuevo león","j-disc-issn-2448-8402;j-disc-issn-1870-221X","CAND-014693;CAND-021134",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1870-221X)","CAND-014693:1870-221X|CAND-021134:1870-221X"
"european pharmaceutical journal","de gruyter open","j-disc-issn-2453-6725;j-disc-issn-0301-2298","CAND-014727;CAND-023119",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0301-2298)","CAND-014727:0301-2298|CAND-023119:0301-2298"
"agroindustrial technology journal","universitas darussalam gontor","j-disc-issn-2598-9480;j-disc-issn-2599-0799","CAND-014769;CAND-021137",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2598-9480)","CAND-014769:2598-9480|CAND-021137:2598-9480"
"jurnal peternakan","universitas islam negeri sultan syarif kasim riau","j-disc-issn-2355-9470;j-disc-issn-1829-8729","CAND-014809;CAND-021042",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1829-8729)","CAND-014809:1829-8729|CAND-021042:1829-8729"
"jurnal social economic of agriculture","tanjungpura university","j-disc-issn-2579-3268;j-disc-issn-2252-3820","CAND-014866;CAND-021115",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2252-3820)","CAND-014866:2252-3820|CAND-021115:2252-3820"
"cm communication and media","faculty of agronomy in čačak","j-disc-issn-2466-541X;j-disc-issn-1452-7405","CAND-014872;CAND-023128",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1452-7405)","CAND-014872:1452-7405|CAND-023128:1452-7405"
"revista nuevo humanismo","national university, costa rica","j-disc-issn-2215-4078;j-disc-issn-1405-0234","CAND-014893;CAND-021034",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2215-4078)","CAND-014893:2215-4078|CAND-021034:2215-4078"
"gender and research","institute of sociology","j-disc-issn-2570-6578;j-disc-issn-1213-0028","CAND-015178;CAND-023166",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1213-0028)","CAND-015178:1213-0028|CAND-023166:1213-0028"
"ijnp (indonesian journal of nursing practices)","muhammadiyah university of yogyakarta","j-disc-issn-2548-592X;j-disc-issn-2548-4249","CAND-015258;CAND-021031",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2548-4249)","CAND-015258:2548-4249|CAND-021031:2548-4249"
"islamuna jurnal studi islam","institut agama islam negeri mataram","j-disc-issn-2443-3535;j-disc-issn-2407-411X","CAND-015488;CAND-021099",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2407-411X)","CAND-015488:2407-411X|CAND-021099:2407-411X"
"international journal of islamic business ethics","universitas islam sultan agung","j-disc-issn-2502-4647;j-disc-issn-2502-0633","CAND-015568;CAND-021043",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2502-0633)","CAND-015568:2502-0633|CAND-021043:2502-0633"
"polish cartographical review","de gruyter open","j-disc-issn-2450-6966;j-disc-issn-0324-8321","CAND-015685;CAND-020488",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0324-8321)","CAND-015685:0324-8321|CAND-020488:0324-8321"
"thinking skills and creativity journal","elsevier bv","j-disc-issn-2615-6105;j-disc-issn-2615-4692","CAND-015691;CAND-021033",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2615-4692)","CAND-015691:2615-4692|CAND-021033:2615-4692"
"philanthropy journal of psychology","universitas semarang","j-disc-issn-2580-8532;j-disc-issn-2580-6076","CAND-015711;CAND-021132",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2580-6076)","CAND-015711:2580-6076|CAND-021132:2580-6076"
"sti policy and management journal","indonesian institute of sciences","j-disc-issn-2502-5996;j-disc-issn-1907-9753","CAND-015835;CAND-023217",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1907-9753)","CAND-015835:1907-9753|CAND-023217:1907-9753"
"jurnal ilmiah kursor","university of trunojoyo madura","j-disc-issn-2301-6914;j-disc-issn-0216-0544","CAND-015961;CAND-020979",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0216-0544)","CAND-015961:0216-0544|CAND-020979:0216-0544"
"jkbm (jurnal konsep bisnis dan manajemen)","medan area university","j-disc-issn-2407-263X;j-disc-issn-2407-2648","CAND-015995;CAND-021049",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2407-263X)","CAND-015995:2407-263X|CAND-021049:2407-263X"
"annales de la faculté de droit d’istanbul","istanbul university","j-disc-issn-2687-4113;j-disc-issn-0578-9745","CAND-016134;CAND-020519",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0578-9745)","CAND-016134:0578-9745|CAND-020519:0578-9745"
"international journal of critical diversity studies","pluto journals","j-disc-issn-2516-5518;j-disc-issn-2516-550X","CAND-016143;CAND-020278",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2516-550X)","CAND-016143:2516-550X|CAND-020278:2516-550X"
"journal of basic medical veterinary","airlangga university","j-disc-issn-2774-9959;j-disc-issn-2302-6820","CAND-016322;CAND-020433",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2302-6820)","CAND-016322:2302-6820|CAND-020433:2302-6820"
"jaur (journal of architecture and urbanism research)","medan area university","j-disc-issn-2599-0160;j-disc-issn-2599-0179","CAND-016640;CAND-021022",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2599-0160)","CAND-016640:2599-0160|CAND-021022:2599-0160"
"jati jurnal akuntansi terapan indonesia","muhammadiyah university of yogyakarta","j-disc-issn-2615-0689;j-disc-issn-2615-157X","CAND-016678;CAND-021063",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2615-0689)","CAND-016678:2615-0689|CAND-021063:2615-0689"
"srm journal of research in dental sciences","medknow","j-disc-issn-2772-5243;j-disc-issn-0976-433X","CAND-016693;CAND-022980",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0976-433X)","CAND-016693:0976-433X|CAND-022980:0976-433X"
"i̇stanbul üniversitesi çeviribilim dergisi / istanbul university journal of translation studies","istanbul university","j-disc-issn-2717-6959;j-disc-issn-1309-6214","CAND-016767;CAND-020825",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1309-6214)","CAND-016767:1309-6214|CAND-020825:1309-6214"
"medievalia","national autonomous university of mexico","j-disc-issn-2448-8232;j-disc-issn-0188-6657","CAND-016773;CAND-019547",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0188-6657)","CAND-016773:0188-6657|CAND-019547:0188-6657"
"ethics politics & society","university of minho","j-disc-issn-2184-2582;j-disc-issn-2184-2574","CAND-016796;CAND-021104",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2184-2574)","CAND-016796:2184-2574|CAND-021104:2184-2574"
"insurance markets and companies","business perspectives","j-disc-issn-2522-9591;j-disc-issn-2078-2454","CAND-016806;CAND-023222",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2078-2454)","CAND-016806:2078-2454|CAND-023222:2078-2454"
"mozaik humaniora","airlangga university","j-disc-issn-2442-935X;j-disc-issn-2442-8469","CAND-016897;CAND-021070",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2442-8469)","CAND-016897:2442-8469|CAND-021070:2442-8469"
"jla (jurnal lingua applicata)","gadjah mada university","j-disc-issn-2598-0556;j-disc-issn-2597-6117","CAND-016931;CAND-021078",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2597-6117)","CAND-016931:2597-6117|CAND-021078:2597-6117"
"tiyatro eleştirmenliği ve dramaturji bölümü dergisi / journal of theatre criticism and dramaturgy","istanbul university","j-disc-issn-2687-4636;j-disc-issn-1303-8605","CAND-017442;CAND-020755",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1303-8605)","CAND-017442:1303-8605|CAND-020755:1303-8605"
"indonesian contemporary nursing journal (icon journal)","hasanuddin university","j-disc-issn-2686-116X;j-disc-issn-2528-2557","CAND-017582;CAND-021011",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2528-2557)","CAND-017582:2528-2557|CAND-021011:2528-2557"
"sanat tarihi yıllığı / journal of art history","istanbul university","j-disc-issn-2717-6940;j-disc-issn-0579-4080","CAND-017828;CAND-020756",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0579-4080)","CAND-017828:0579-4080|CAND-020756:0579-4080"
"le foucaldien","open library of humanities","j-disc-issn-2515-2076;j-disc-issn-2755-0923","CAND-017866;CAND-018730",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2515-2076)","CAND-017866:2515-2076|CAND-018730:2515-2076"
"apuntes electorales","instituto electoral del estado de méxico","j-disc-issn-2448-8585;j-disc-issn-1665-0921","CAND-018147;CAND-020952",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1665-0921)","CAND-018147:1665-0921|CAND-020952:1665-0921"
"rekayasa bahan alam dan energi berkelanjutan","brawijaya university","j-disc-issn-2548-2181;j-disc-issn-2548-2300","CAND-018154;CAND-020986",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2548-2181)","CAND-018154:2548-2181|CAND-020986:2548-2181"
"global focus","brawijaya university","j-disc-issn-2776-9399;j-disc-issn-2723-4215","CAND-018180;CAND-021130",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2723-4215)","CAND-018180:2723-4215|CAND-021130:2723-4215"
"jurnal transformative","brawijaya university","j-disc-issn-2581-0308;j-disc-issn-2548-3323","CAND-018232;CAND-020467",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2548-3323)","CAND-018232:2548-3323|CAND-020467:2548-3323"
"indonesian journal of learning and instruction","university of kuningan and association of indonesian scholars of english education (aisee)","j-disc-issn-2614-5677;j-disc-issn-2614-8250","CAND-018243;CAND-021138",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2614-5677)","CAND-018243:2614-5677|CAND-021138:2614-5677"
"jipva (jurnal pendidikan ipa veteran)","institut keguruan dan ilmu pendidikan (ikip) veteran semarang","j-disc-issn-2598-0904;j-disc-issn-2598-5876","CAND-019336;CAND-021067",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2598-0904)","CAND-019336:2598-0904|CAND-021067:2598-0904"
"territorio italia","agenzia delle entrate","j-disc-issn-2499-2674;j-disc-issn-2499-2666","CAND-022337;CAND-022345",confirmed_same,"issn_l is null upstream on OpenAlex for this source, but both candidate entities ISSNs resolve to the exact same OpenAlex source_id (S2736437162, display_name ""Territorio Italia"") with an identical issn array — confirmed via OpenAlex Source ID (registry/README.md tier 3), not issn_l (tier 1 unavailable for this source).","CAND-022337:NONE|CAND-022345:NONE"
